Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
MG HECTOR,Wonderful car.,5,It is so amazing and it so much easy for me to drive.,By Mukesh Kumar,"On: Dec 14, 2019 | 40 Views",www.cardekho.com
MG HECTOR,Amazing performance,5,Good looking. Amazing performance what a style. The brand is making perfect for youngsters. Important for safety as well.,By Vinoth Krishna,"On: Dec 12, 2019 | 32 Views",www.cardekho.com
MG HECTOR,Car of the year.,5,"A wonderful and an amazing car. High ranking car of the year with all facilities like air bags, A.C., and much more.",By Sadhuram Garg,"On: Dec 12, 2019 | 38 Views",www.cardekho.com
MG HECTOR,The next level car.,5,"The car is beyond the next level. The function like ""hey MG"" is the best feature it has. Amazing speed and wonderful performance it has.",By Shivam Patel,"On: Dec 12, 2019 | 40 Views",www.cardekho.com
MG HECTOR,Great car.,5,I bought MG Hector in October and so far this car gave me good mileage and very nice driving experience. Its infotainment system with the internet inside is a futuristic feature. Nice and spacious car with so many features and good mileage too. Value for money.,By Soni,"On: Dec 12, 2019 | 760 Views",www.cardekho.com
MG HECTOR,Awesome car.,5,People might like the Kia better but this car has its class of its own with its phenomenal looks and stance which is a charmer on road. The features too are fully loaded as one would expect it to be so good job by the MG team.,By A Singha,"On: Dec 10, 2019 | 779 Views",www.cardekho.com
MG HECTOR,Excellent car.,5,"This car is just awesome, because of the design, the internet inside and the looks of this car and the engine performance is really good.",By Patel Susmit,"On: Dec 11, 2019 | 44 Views",www.cardekho.com
MG HECTOR,The best SUV.,5,"MG Hector is the best car one can buy. Its comfort and class are uncomparable. Just an amazing vehicle one can buy. Safety features in hector are best in segment . you can always believe in the name MG because it defines comfort, class, safety. ",By Prathamesh Deshpande,"On: Dec 11, 2019 | 280 Views",www.cardekho.com
MG HECTOR,Amazing car.,4,Best car for the family.,By Prabhakar Bandal,"On: Dec 11, 2019 | 36 Views",www.cardekho.com
MG HECTOR,Great car.,5,"Super good car and excellent condition with great mileage. Good interiors, wonderful performance and best designed.",By Shivareddy Congress,"On: Dec 11, 2019 | 29 Views",www.cardekho.com
MG HECTOR,Excellent car.,5,I like this car very much because of its spacious cabin and legroom for the passenger side and the internet inside the car is very much fast. Its engine fuel efficiency is good. Its interior is full of new features and it is also available in different colors and different variants.,By Manaswini Nanda,"On: Dec 10, 2019 | 82 Views",www.cardekho.com
MG HECTOR,Fabulous car.,5,"The car is amazing, just mind-boggling features it has. I don't have words for it as the build quality is amazing.",By Varun Sharma,"On: Dec 10, 2019 | 33 Views",www.cardekho.com
MG HECTOR,The best car.,5,A very interesting and spectacular car. MG Hector is world famous now. The huge sunroof and the big 10-inch screen makes this car spectacular. This car gives very good comfort and large boot space. The entertainment in this is the most spectacular feature in MG Hector.,By Vinay Anil,"On: Dec 10, 2019 | 68 Views",www.cardekho.com
MG HECTOR,A brilliant car.,5,Good and excellent car and it takes all the attention of all the other cars just due to it's exterior. Good in all aspects.,By Vishal,"On: Dec 10, 2019 | 33 Views",www.cardekho.com
MG HECTOR,Mind refreshing machine.,5,Smooth feel inside the beast. An amazing car so far.,By Ashish Gogawale,"On: Dec 10, 2019 | 41 Views",www.cardekho.com
MG HECTOR,Nobody can say no to this.,4,"1. The exterior looks superb and is a perfect car for men. 2. Best car in this class in the price. 3. Luxurious seating. 4. Large Panorama window. 5. Larger boot space. 6. Only a few commands are working. 7. Pickup, when compared to the same segment bit, lags in this and not that comfortable for driving, and especially due to a short clutch. 9. The body is super.  10. After-sales service package was awesome never heard these kinds of offers.",By Joshi Raju,"On: Dec 10, 2019 | 1075 Views",www.cardekho.com
MG HECTOR,Best car ever seen.,4,"The MG Hector pretty much outsizes everything in its class. Its length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention.",By Mohini Sharma,"On: Dec 09, 2019 | 186 Views",www.cardekho.com
MG HECTOR,Best in the Budget,5,"The best car at a very reasonable price and best specification in the budget, it has very advanced features.",By User,"On: Dec 08, 2019 | 39 Views",www.cardekho.com
MG HECTOR,Great car.,5,A real slayer. The interior and the exteriors are so dashing. Far better than Toyota Fortuner.,By Arsh Tyagi,"On: Dec 10, 2019 | 39 Views",www.cardekho.com
MG HECTOR,The best car.,5,The most powerful car.,By Deepak Sharma,"On: Dec 10, 2019 | 38 Views",www.cardekho.com
MG HECTOR,Best car so far.,5,Perfect drive due to ultimate steering and infotainment system is mind-blowing.,By Shahruk Memon,"On: Dec 09, 2019 | 35 Views",www.cardekho.com
MG HECTOR,Superb car.,3,Amazing drive and great looks.,By Akash Patel,"On: Dec 09, 2019 | 39 Views",www.cardekho.com
MG HECTOR,Nice SUV for family.,5,"Best luxury SUV in the budget as It contains many features that are only in this car like the panoramic sunroof, new voice assistance and many more. Its design is very beautiful and taillight looks like Audi's taillight. It has sufficient space for passengers and its price range is also good. It is an affordable car for middle-class people at this price. This is the only car which has all features especially its mobile features, we can control this car by the mobile application. The company has to make drastic changes in the car.",By Manish Nihalani,"On: Dec 09, 2019 | 90 Views",www.cardekho.com
MG HECTOR,100% reliable car,5,"MG Hector is a very comfortable car, I love to drive it, it is very good to take anywhere my experience is very good for Hector.",By Mrithunjay Sahani,"On: Dec 09, 2019 | 39 Views",www.cardekho.com
MG HECTOR,MG Hector best features,5,"The best car at that price best feature, amazing power, and handling is also good. All over best in class and amazing space.",By Angad Singh,"On: Dec 08, 2019 | 38 Views",www.cardekho.com
MG HECTOR,Perfect Family SUV,5,This car is perfect for a family it is the best car in this range. It contains many features that are only in this car like panoramic sunroof new voice assistance and many more its design is very beautiful its tail light is all led its tail light look like Audi tail light and its have efficient space for persons and its price range is also good it is affordable car for middle-class people in this price this is the only car which has this all features especially its mobile features we can control this car by the app this car has to make drastic change in the Car market I would suggest everyone buy this car only. This is the first car of MG company that contain all features that can satisfy a person it has a big infotainment system like Tesla have we can control everything from the infotainment system its headlight look very stylish its length is very awesome and width also its body is also similar to Fortuner I would prefer that everyone should buy this car If they are not satisfied with this review so first go to the MG showroom and first visit the car. I am also thinking about to buy this car because it gives a very good shine. ,By Anonymous,"On: Dec 08, 2019 | 570 Views",www.cardekho.com
MG HECTOR,The best SUV: MG Hector,4,Mg Hector is one of the best SUV segment cars in India. It is competition with Tata Harrier and Hyundai Creta. Pros: It has good pickup 2. It has a smooth drive. Cons:1 Issue with voice command either it doesn't recognize or it listens to what you talk 2. Display touch is not responding sometimes 3. The cooling issue in the rear section ac is not much effective as it has panoramic sunroof it has a high temperature in rear section cooling is not effective in summer. 4. The battery is not so good that why mg provide one year warranty on that.,By Rakesh Kumar,"On: Dec 07, 2019 | 474 Views",www.cardekho.com
MG HECTOR,Worth Value Money,5,"The car is full of updated techs and features. Apart from it, it has superb space, looks, power, and the driving experience is awesome. It's best in the segment.",By Furquan Akhtar,"On: Dec 06, 2019 | 87 Views",www.cardekho.com
MG HECTOR,MG Hector Car Performance,5,MG Hector is one of the most popular SUV with advanced features with all safety features also with high built quality interior and exterior. You will get satisfied after buying the Hector no need to take any worry about we have purchased a good or a bad car. After experiencing the drive day by day you will be satisfied with your doubts.,By Abhinav Pathak,"On: Dec 06, 2019 | 613 Views",www.cardekho.com
MG HECTOR,MG hector is a luxurious car in the world,5,Hector has a very luxurious seating in it. There are comfortable seats for everyone and it is the very perfect car for every family,By Tillu Praneeth,"On: Dec 08, 2019 | 43 Views",www.cardekho.com
